Address,District,City,Size,Price,Description
Pääskylänrinne 6 B,Sörnäinen,Helsinki,43 m²,249 000 €,"
2h, avok, kph, vh, et 
"
Luuvaniementie 10 E,Niemenmäki,Helsinki,57 m²,318 000 €,"
2h+k
"
Maasälväntie 16,Pihlajamäki,Helsinki,40 m²,157 000 €,"
2h + kk
"
Isonnevantie 7-9 C,Etelä-Haaga,Helsinki,45 m²,298 000 €,"
2h+avok+kph+p
"
Toini Muonan katu 3 b,Arabianranta,Helsinki,49 m²,21 284 €,"
2H+KK
"
Mäkitorpantie 42 A,Oulunkylä,Helsinki,56 m²,255 000 €,"
2 h, k, kh/wc, p (Yj. 2h+k)
"
Kutomotie 14 B,Tali,Helsinki,"40,5 m²",315 000 €,"
2h + avok + kph + avoterassi.
"
Töölöntullinkatu 4-6 A 26,Meilahti,Helsinki,"52,5 m²",593 000 €,"
2h+kt
"
Kinaporinkatu 3,Kallio,Helsinki,43 m²,322 900 €,"
2h + k
"
Runeberginkatu 28 B,Etu-Töölö,Helsinki,"57,5 m²",488 000 €,"
2h, k, kph, s
"
Fredrikinkatu 20 G,Punavuori,Helsinki,70 m²,644 000 €,"
2h+k+kph (yhtiöjärjestyksessä 2 h+k)
"
Pengerkatu 9 B,Kallio,Helsinki,"41,5 m²",278 000 €,"
2h+kk+kph
"
Malmin kauppatie 4 a,Malmi,Helsinki,57 m²,22 620 €,"
2H+K+S
"
Pyynikintie 5 G,Pihlajisto,Helsinki,"61,6 m²",155 000 €,"
2h, k, kph, et, las.parv.
"
Maaherrantie 34 A 35,Oulunkylä,Helsinki,"45,5 m²",341 300 €,"
2H+KT+S
"
Rapakivenkuja 5 S,Malmi,Helsinki,55 m²,184 000 €,"
2h + avok + rt + p
"
Käsityöläisentie 17 A,Tapulikaupunki,Helsinki,"62,5 m²",110 000 €,"
2h+k+kph+parv
"
Kahvipavunkuja 2 B,Aurinkolahti,Helsinki,"43,5 m²",296 500 €,"
2h/avok + p (yht.järj. mukaan 2h+kt)
"
Mäkelänkatu 3 A,Vallila,Helsinki,47 m²,326 000 €,"
2h+k+kph+p
"
Aurinkotuulenkatu 20,Aurinkolahti,Helsinki,50 m²,316 000 €,"
2h, kk, kph, s, lasit. parveke
"
Inkoonkatu 5,Alppila,Helsinki,41 m²,229 000 €,"
2h+kk+kph+vh+lasitettu parveke
"
Kylätie 11-13,Etelä-Haaga,Helsinki,"44,5 m²",238 000 €,"
1-2h, avok, kph, vh, las.p
"
Kuusitie 2 B,Meilahti,Helsinki,40 m²,359 000 €,"
2h, kt, kph
"
Töölönkatu 26 C 50,Taka-Töölö,Helsinki,47 m²,399 500 €,"
2h + k + vh+p
"
Sauvontie 6A3,Ruskeasuo,Helsinki,"48,5 m²",300 731 €,"
2h + avok + ranskalainen parveke
"
ENGLANTILAISAUKIO 10 A,Kalasatama,Helsinki,52 m²,459 900 €,"
2h+kt+viherhuone
"
Lauttasaarentie 1 C,Lauttasaari,Helsinki,65 m²,574 000 €,"
2h, avokeittiö, rt, kph, las.parveke
"
Agronominkatu 10 D,Viikki,Helsinki,"54,5 m²",309 000 €,"
2h, kk, lasitettu parveke 
"
Sulkapolku 1 C42,Pitäjänmäki,Helsinki,41 m²,220 900 €,"
2h+kt
"
Renginkuja 1 C 21,Malminkartano,Helsinki,41 m²,147 000 €,"
2h+k+kph+vh+ter
"
Merimiehenkatu 18 A,Punavuori,Helsinki,48 m²,429 000 €,"
2h, avok, kh, erillinen wc, (yj.1 h+k+kh+WC)
"
Jokisuuntie 11 B 43,Viikinranta,Helsinki,"47,5 m²",325 000 €,"
2h+avok+kph+s+las.parv
"
Kuparitie 12 F 97,Haaga,Helsinki,59 m²,248 000 €,"
2h+k+kph+las.parv
"
Rapakivenkuja 5 S,Pihlajamäki,Helsinki,"55,5 m²",164 000 €,"
2h+kk+lasitettu parveke
"
Valpurintie 6 A,Meilahti,Helsinki,48 m²,319 000 €,"
2h, k
"
Norkkokuja 6 ja 7,Viikki,Helsinki,"48,5 m²",20 710 €,"
2H+K
"
Suvilahdenkatu 3-5 A,Sörnäinen,Helsinki,50 m²,260 000 €,"
2h+k+kph+vh
"
Mesenaatintie 1,Talinranta,Helsinki,"51,5 m²",260 164 €,"
2h+k+kph+s+ter
"
Punavuorenkatu 11 B,Punavuori,Helsinki,"44,5 m²",355 000 €,"
2 h, keittiö, kph ja parveke (isännöitsijäntodistuksen mukaan 2h+k) 
"
Albertinkatu 9 A,Punavuori,Helsinki,42 m²,439 000 €,"
2h + avok + kph
"
KUNINKAANTAMMENKIERTO 10 C,Kuninkaantammi,Helsinki,45 m²,231 000 €,"
2h+kt
"
Niemenmäentie 3,Munkkiniemi,Helsinki,53 m²,267 000 €,"
2h + avokeittiö + lasitettu parveke
"
Tilanhoitajankaari 14 A,Viikki,Helsinki,58 m²,307 000 €,"
2h+k+s
"
Kastelholmantie 4 A,Puotinharju,Helsinki,"51,5 m²",166 000 €,"
2h+k+kph+lasitettu parveke
"
Koirasaarentie 1,Laajasalo,Helsinki,56 m²,278 000 €,"
2h, k, kph, s, p
"
Lampuotilantie 34-36 C,Maunula,Helsinki,51 m²,238 000 €,"
2h+k+kph+vh+lasitettu parveke
"
Mannerheimintie 100 A,Taka-Töölö,Helsinki,54 m²,398 000 €,"
2-3h+k+khh+kph+erill.wc+parv.
"
Korppaanmäentie 36 a,Pikku Huopalahti,Helsinki,"43,5 m²",257 000 €,"
2h+kk+kh+parveke (yj:n mukaan 2h+kk)
"
Koskelantie 28,Käpylä,Helsinki,55 m²,290 000 €,"
2h, avokeittiö, kph, parveke
"
Meri-Rastilantie 11,Vuosaari,Helsinki,"60,5 m²",13 957 €,"
2H+K+S
"
Paciuksenkaari 12 A 05,Huopalahti,Helsinki,"46,5 m²",16 592 €,"
2H+KK+S
"
Vanhanlinnankuja 1 D,Puotinharju/Itäkeskus,Helsinki,"59,5 m²",159 900 €,"
2h+k+kph+parv.
"
Otavantie 2 A,Lauttasaari,Helsinki,37 m²,315 000 €,"
2h+k+kph+p (yhtiöjärjestyksen mukaan 2h+k+kh)
"
Viikintie 5 A,Vanhankaupunginkoski,Helsinki,"46,5 m²",298 000 €,"
2h+kk+kph+sauna+lasitett parveke
"
Poutuntie 13 A,Pohjois-Haaga,Helsinki,"51,3 m²",298 000 €,"
2h,k,kph,vh,parveke
"
Pursimiehenkatu 15,Punavuori,Helsinki,77 m²,898 000 €,"
2h, avok, kph/s, wc, 2xterassi, varasto
"
Kivisaarentie 5 B,Vuosaari,Helsinki,"52,5 m²",159 000 €,"
2h,kk,kph,parveke
"
Leimasinkatu 9,Postipuisto,Helsinki,"64,5 m²",351 900 €,"
3h + kt
"
Leimasinkatu 9,Pasila,Helsinki,"81,5 m²",419 900 €,"
4h + kt
"
Leimasinkatu 9,Postipuisto,Helsinki,"64,5 m²",331 900 €,"
3h + kt
"
Messeniuksenkatu 10 B,Taka-Töölö,Helsinki,40 m²,349 000 €,"
2h+k+kph+parveke
"
Roihuvuorentie 18,Roihuvuori,Helsinki,"52,5 m²",268 000 €,"
2h, k, kph, vh
"
Sörnäistenlaituri 3,Kalasatama,Helsinki,"54,5 m²",475 000 €,"
2h, k, s
"
Raatetie 8,Tapanila,Helsinki,49 m²,198 000 €,"
2h, k, s
"
Humalistonkatu 19 A,Taka-Töölö,Helsinki,"37,7 m²",298 000 €,"
2h+kk+kph
"
Leikosaarentie 25 A,Aurinkolahti,Helsinki,"43,5 m²",248 000 €,"
2 h, avokeittiö, kph/sauna, piha (Yj, 2h+kk+s+terassipiha)
"
Pengerkatu 21 B,Kallio,Helsinki,46 m²,329 000 €,"
1-2h, k, rt, parvi, vh, kph
"
Köydenpunojankatu 8 C,Kamppi,Helsinki,58 m²,479 000 €,"
2H + K
"
Ulvilantie 19 a,Munkkivuori,Helsinki,49 m²,276 000 €,"
2h, k, kph, vh, parveke
"
Hämeentie 62 C 40,Sörnäinen,Helsinki,48 m²,323 000 €,"
1-2 H+K+KPH
"
Viikintie 9 A,Vanhankaupunginkoski,Helsinki,46 m²,310 000 €,"
2 h+kk+s
"
Sofianlehdonkatu 7,Käpylä,Helsinki,"60,5 m²",339 000 €,"
2h, k, kph, parveke
"
Mannerheimintie 132 A,Meilahti,Helsinki,42 m²,299 000 €,"
2h, kk, kph
"
ENGLANTILAISAUKIO 10 A,Kalasatama,Helsinki,"50,5 m²",398 000 €,"
1-2h+k+vh+viherhuone (YJ:n mukaan 1h+kt+alk)
"
Agronominkatu 10,Viikki,Helsinki,"47,5 m²",254 000 €,"
2h, avok., kph, vh, lasit.parveke
"
Karistimentie 2 A,Myllypuro,Helsinki,"50,5 m²",179 000 €,"
2h+kk
"
Saniaistie 7 A,Tapanila,Helsinki,50 m²,169 000 €,"
2 h+avok+kph+lasitettu parveke (yhtij. muk. 2 h+k)
"
Vattuniemenkatu 18 A,Lauttasaari,Helsinki,"51,5 m²",318 000 €,"
2h, k, kph, las. parveke
"
Pihlajistontie 1 A,Pihlajisto,Helsinki,50 m²,257 000 €,"
2h+kt+s
"
Pihlajistontie 1 A,Pihlajisto,Helsinki,50 m²,254 000 €,"
2h+k+s
"
Luuvaniementie 12,Niemenmäki,Helsinki,42 m²,230 000 €,"
2h, avokeittiö, kph/wc, vaatehuone, lasitettu parveke
"
Humalistonkatu 1b B,Töölö,Helsinki,56 m²,463 000 €,"
2 H+ K
"
Rakuunantie 3 A 10,Munkkiniemi,Helsinki,41 m²,339 000 €,"
2h+k+kph+las.parv
"
Urkupillintie 7 C,Kannelmäki,Helsinki,"60,5 m²",190 000 €,"
2h+k
"
Melkonkatu 4,Lauttasaari,Helsinki,"40,5 m²",288 000 €,"
2h, keittiö, kylpyhuone, lasitettu parveke
"
Pursimiehenkatu 23 A,Punavuori,Helsinki,"45,5 m²",398 000 €,"
2h, k, kph (yj:n muk. kph+k+et+kph)
"
Mannerheimintie 55 A,Taka-Töölö,Helsinki,64 m²,425 000 €,"
2h+avok+kph+vh (yhtiöjärjestyksessä 2 huonetta)
"
Liiketie 22 B,Tapanila,Helsinki,"50,5 m²",232 000 €,"
2h, k, kph, lasitettu parveke (Yj:n mukaan  2h+k)
"
Huopalahdentie 9 A,Munkkiniemi,Helsinki,"53,2 m²",367 000 €,"
2 h, k, kph, parveke
"
Teollisuuskatu 26 B,Vallila,Helsinki,"53,5 m²",459 000 €,"
2h+k+kph+s+lasitettu parveke
"
Arhotie 24 C,Vartiokylä,Helsinki,50 m²,145 000 €,"
2h + k + lasitettu parveke
"
Vanha Suutarinkyläntie 8 G,Töyrynummi,Helsinki,54 m²,195 000 €,"
2h+k+kph+vh+et+terassi+varasto
"
Kustaankatu 9,Harju,Helsinki,"48,1 m²",299 000 €,"
1h, k, kph, parvi
"
Koroistenkuja 1,Ruskeasuo,Helsinki,"60,5 m²",299 000 €,"
2h, k, kph ja lasitettu parveke
"
Kiilletie 5 A,Pihlajamäki,Helsinki,60 m²,198 000 €,"
2h, k, kph, parveke
"
Kalasatamankatu 9 A,Kalasatama,Helsinki,"63,5 m²",517 000 €,"
2-3h+avok+kph+sauna+viherhuone (YJ:n mukaan 2H+KT+ALK+S)
"
Maaherrantie 34 A 20,Oulunkylä,Helsinki,"59,5 m²",351 100 €,"
2H+KT+VIHERH.
"
Capellanranta 6 A 20,Kalasatama,Helsinki,53 m²,477 000 €,"
2h+k+kph+vh+las.parv
"
Hirsipadontie 3 F 32,Oulunkylä,Helsinki,58 m²,172 000 €,"
2h+k+kph+las.parv
"
Laivalahdenkaari 9,Herttoniemenranta,Helsinki,"57,5 m²",18 538 €,"
2H+K+S
"
Stenbäckinkatu 10,Töölö,Helsinki,46 m²,368 000 €,"
2h + avok ( yh.2h+kk)
"
