Address,District,City,Size,Price,Description
Länsisatamankatu 31 A 24,Jätkäsaari,Helsinki,45 m²,389 900 €,"
2h+kt
"
Länsisatamankatu 31 A 19,Jätkäsaari,Helsinki,45 m²,378 500 €,"
2h+kt
"
Länsisatamankatu 31 A 14,Jätkäsaari,Helsinki,45 m²,367 000 €,"
2h+kt
"
Länsisatamankatu 31 A 9,Jätkäsaari,Helsinki,45 m²,355 600 €,"
2h+kt
"
Länsisatamankatu 31 A 5,Jätkäsaari,Helsinki,"53,5 m²",345 600 €,"
2h+kt
"
Länsisatamankatu 31 A 4,Jätkäsaari,Helsinki,45 m²,344 100 €,"
2h+kt
"
Isokaari 46 A,Lauttasaari,Helsinki,44 m²,338 000 €,"
2h+kk+kh
"
Tinatie 5 B,Lassila,Helsinki,50 m²,189 000 €,"
2h, kk
"
Sörnäistenlaituri 5 A,Kalasatama,Helsinki,"53,5 m²",488 000 €,"
2h, avok, kph, s, lasitettu terassiparveke
"
Hämeentie 9 A 6,Hakaniemi,Helsinki,57 m²,435 000 €,"
2h+k+kph+s+las.parv
"
Vellikellontie 5 C,Malminkartano,Helsinki,56 m²,176 000 €,"
2h+k+parveke
"
Lauttasaarentie 25,Lauttasaari,Helsinki,"61,5 m²",498 000 €,"
2h, kt, kph, vh + viherhuone (lämmin tila)
"
Kalevankatu 26 A,Kamppi,Helsinki,49 m²,389 000 €,"
2h, kk, kph, vh
"
Kolmas linja 5 A,Kallio,Helsinki,55 m²,279 000 €,"
2h,avokeittiö,kph
"
Capellanranta 10 A 23,Verkkosaari / Kalasatama,Helsinki,43 m²,395 000 €,"
2h + kt 
"
Capellanranta 10 A 8,Verkkosaari / Kalasatama,Helsinki,43 m²,370 000 €,"
2h + kt 
"
Orioninkatu 4,Hermanni,Helsinki,49 m²,298 000 €,"
2h, k , kph, p
"
Leiviskätie 2 D,Lassila,Helsinki,55 m²,209 000 €,"
2h, k, lasitettu parveke
"
Porvoonkatu 1 F,Alppiharju,Helsinki,"41,5 m²",275 000 €,"
2H+KK+KPH+PARVEKE LASITETTU (yhtiöjärjestyksen mukaan 2h+kk)
"
Kutomotie 14,Tali,Helsinki,"55,5 m²",320 000 €,"
2h,kt,s
"
Lehdokkipolku 5,Itäkeskus,Helsinki,59 m²,207 000 €,"
2h+k
"
Siilitie 8A B,Herttoniemi,Helsinki,"46,5 m²",315 000 €,"
2h+avok+kph+lasitettu parveke
"
Teollisuuskatu 28 A,Vallila,Helsinki,43 m²,431 535 €,"
2h, avok,kph/wc
"
Mäkelänkatu 30 A,Vallila,Helsinki,"48,5 m²",289 500 €,"
2h+kk+kph
"
Vilhonvuorenkuja 4 B,Sörnäinen,Helsinki,"45,5 m²",336 000 €,"
2h+k+kph+vh+lasitettu parveke
"
Kiertotähdentie 6 C,Siltamäki,Helsinki,50 m²,119 000 €,"
2h+kk+kph
"
Satamakatu 3,Katajanokka,Helsinki,42 m²,479 000 €,"
2h+kt
"
Näyttelijäntie 14 B,Pohjois-Haaga,Helsinki,"54,5 m²",199 000 €,"
2h, k, kph, s, et, lasitettu parveke
"
Lapinlahdenkatu 11,Kamppi,Helsinki,"67,8 m²",535 000 €,"
2h, k, kph.
"
Strömsinlahdenkuja 2,Roihuvuori,Helsinki,44 m²,190 000 €,"
2h, avok., sauna ja lasitettu parveke
"
Harjukatu 6,Harju,Helsinki,53 m²,327 000 €,"
2h, avokeittiö, kylpyhuone
"
Strömsinlahdenkuja 1,Roihuvuori,Helsinki,45 m²,198 000 €,"
2h, avok, kph, las. parveke
"
MAISEMAMAALAUKSENKATU 3,Kuninkaantammi,Helsinki,"57,5 m²",304 000 €,"
2h, avokeittiö, kph, vh, viherhuone/parv.
"
Perhosenkierto 33,Malminkartano,Helsinki,"52,5 m²",28 855 €,"
2h+kt
"
Mechelininkatu 23 B,Etu-Töölö,Helsinki,"80,6 m²",595 000 €,"
2 h + kn (YJ:n mukaan 3 h)
"
Topeliuksenkatu 16 C40,Töölö,Helsinki,60 m²,600 000 €,"
2h+kt+vh (s-var.) - 60,0 m2
"
Döbelninkatu 3 a,Töölö,Helsinki,64 m²,485 000 €,"
2h+ak+halli (yj2h+kk)
"
Ohjaajantie 3,Pohjois-Haaga,Helsinki,48 m²,246 000 €,"
2h, k, rt, kph, parv.
"
Pursimiehenkatu 21 C,Punavuori,Helsinki,36 m²,387 000 €,"
2h+kk
"
Kirjokiventie 1 ja 2,Maununneva,Helsinki,51 m²,19 954 €,"
2H+K+S
"
Pääskylänrinne 4 B,Sörnäinen,Helsinki,51 m²,298 000 €,"
2h+avok+kph
"
Saariselänkuja 2,Mellunmäki,Helsinki,"40,5 m²",125 000 €,"
2h, pk, kph, prv
"
Suonionkatu 1 B,Kallio,Helsinki,44 m²,275 000 €,"
2h, avok, kph/wc
"
Isonnevantie 41,Haaga,Helsinki,47 m²,260 000 €,"
2h+k+kph+p
"
Lehdokkipolku 6 B,Itäkeskus,Helsinki,"62,5 m²",192 000 €,"
2h + k + vh + kph + lasitettu parveke (Yj 2h+k)
"
Fleminginkatu 20 A,Harju,Helsinki,"57,7 m²",364 000 €,"
2h+kk+kh
"
Ryytimaantie 13 A,Etelä-Haaga,Helsinki,46 m²,259 000 €,"
2 h, kk, kph, parveke
"
Porvoonkatu 51 A,Alppila,Helsinki,35 m²,259 000 €,"
2 h, ikkunallinen kk, kph
"
Ristiretkeläistenkatu 11 F 33,Viikinmäki,Helsinki,"49,5 m²",305 450 €,"
2H+KT
"
Ristiretkeläistenkatu 11 F 41,Viikinmäki,Helsinki,"49,5 m²",311 000 €,"
2H+KT
"
Ristiretkeläistenkatu 11 F 32,Viikinmäki,Helsinki,"49,5 m²",305 450 €,"
2H+KT
"
Museokatu 40 C,Etu-Töölö,Helsinki,"44,8 m²",468 160 €,"
2h, avok, kh
"
Pihkatie 3 A,Malminkartano,Helsinki,"63,5 m²",169 800 €,"
2h+k+vaatehuone+terassa+piha
"
Niemenmäentie 2 A,Niemenmäki (Munkkivuori),Helsinki,42 m²,225 000 €,"
2h+k+kph+parveke (yhtiöjärjestyksen mukaan 2h+kk)
"
Pyynikintie 5 B,Pihlajisto,Helsinki,"61,6 m²",169 000 €,"
2h+k+lasitettu parveke
"
Hattelmalantie 13 A,Pihlajisto,Helsinki,"55,5 m²",165 000 €,"
2h+k+kph+s+p (Yj. 2h+k+sauna)
"
Munkkisaarenkatu 14 B,Hernesaari,Helsinki,"42,7 m²",378 000 €,"
1h+avok+kph
"
Lohkarekuja 1,Kivikko,Helsinki,59 m²,16 425 €,"
2H+K+S
"
Kalkkivuorentie 43 D,Heikinlaakso,Helsinki,65 m²,219 000 €,"
2h + k + sauna
"
Kanneltie 3 B,Kannelmäki,Helsinki,43 m²,163 000 €,"
2h, kk, kph, las. p
"
Kantelettarentie 8 C,Kannelmäki,Helsinki,50 m²,182 000 €,"
2h, kk, kph, parveke
"
Vihdintie 15,Etelä-Haaga,Helsinki,37 m²,249 000 €,"
2h, kk, parveke
"
Haapasaarentie 10,Vuosaari,Helsinki,47 m²,159 000 €,"
2h, kk, kph, parveke x 2
"
Purjetie 3,Vuosaari,Helsinki,"50,8 m²",169 000 €,"
2h, k, kph, lasitettu parveke
"
Hämeentie 94 A,Vallila,Helsinki,96 m²,386 000 €,"
2 h + k + ask.huone + khh + s
"
Liisankatu 19 B,Kruununhaka,Helsinki,46 m²,395 000 €,"
2-3h, kk, kph
"
Punavuorenkatu 14 B,Punavuori,Helsinki,63 m²,579 000 €,"
2h+avok.+kph+lasitettu parveke
"
Aittatie 13 a,Konala,Helsinki,"51,5 m²",289 000 €,"
2h, avok., vh, kph ja sauna  + terassi
"
Pläsinpellonkuja 2 A 33,Siltamäki,Helsinki,"41,5 m²",22 721 €,"
2h+kt
"
Neitsytsaarentie 1 C,Vuosaari,Helsinki,53 m²,183 000 €,"
2h, keittiö, kph, vh, las.parveke
"
Vaasanpolku 1 A,Sörnäinen,Helsinki,62 m²,364 900 €,"
2h, k, kph ja sauna
"
Korppaanmäentie 7 C,Pikku Huopalahti,Helsinki,"60,5 m²",303 000 €,"
2h,k
"
Kalasatamankatu 9 A81,Kalasatama,Helsinki,48 m²,477 000 €,"
2h+avok+kph+s+vh+viherhuone+rp
"
Liusketie 2,Pihlajamäki,Helsinki,"55,5 m²",112 000 €,"
2h+kk+kph+vh
"
Neljäs linja 16,Kallio,Helsinki,54 m²,344 000 €,"
2h+k+kph+vh+p
"
Kauppiaankatu 8-10 E,Katajanokka,Helsinki,"67,5 m²",545 000 €,"
2 h, k
"
Bertha Pauligin katu 3 B 50,Vuosaari,Helsinki,34 m²,253 700 €,"
2h+kt
"
Bertha Pauligin katu 3 C 52,Vuosaari,Helsinki,34 m²,253 700 €,"
2h+kt
"
Bertha Pauligin katu 3 A 36,Vuosaari,Helsinki,"38,5 m²",294 500 €,"
2h+kt
"
Bertha Pauligin katu 3 A 27,Vuosaari,Helsinki,"41,5 m²",278 700 €,"
2h+kt
"
Bertha Pauligin katu 3 A 41,Vuosaari,Helsinki,"41,5 m²",301 800 €,"
2h+kt
"
Bertha Pauligin katu 3 A 08,Vuosaari,Helsinki,"38,5 m²",273 900 €,"
2h+kt
"
Bertha Pauligin katu 3 A 15,Vuosaari,Helsinki,"38,5 m²",278 700 €,"
2h+kt
"
Bertha Pauligin katu 3 A 22,Vuosaari,Helsinki,"38,5 m²",283 800 €,"
2h+kt
"
Bertha Pauligin katu 3 A 29,Vuosaari,Helsinki,"38,5 m²",288 900 €,"
2h+kt
"
Bertha Pauligin katu 3 A 34,Vuosaari,Helsinki,"41,5 m²",283 800 €,"
2h+kt
"
Bertha Pauligin katu 3 A 03,Vuosaari,Helsinki,"38,5 m²",265 700 €,"
2h+kt
"
Kontukuja 4,Kontula,Helsinki,59 m²,155 000 €,"
2h, k, kph, p
"
Parmaajanpolku 2 B,Tapulikaupunki/Suutarila,Helsinki,60 m²,139 000 €,"
2 h, k, kph, lasitettu parveke (yj. 2h+k)
"
Kiertotähdentie 6,Siltamäki,Helsinki,"48,5 m²",139 000 €,"
2h,kk
"
Alakiventie 1 C 32,Myllypuro,Helsinki,"46,5 m²",179 000 €,"
2h+k+kph
"
Helsinginkatu 8,Kallio,Helsinki,58 m²,345 000 €,"
2h + avokeittiö + kph + alkovi
"
Sulkapolku 1 C49,Pitäjänmäki,Helsinki,54 m²,278 700 €,"
2h+kt+s
"
Kaanaankatu 1c E 200,Arabianranta,Helsinki,56 m²,421 300 €,"
2h+kt+s
"
Kaanaankatu 1c E 197,Arabianranta,Helsinki,"48,5 m²",353 100 €,"
2h+kt+s
"
Kaanaankatu 1c E 194,Arabianranta,Helsinki,56 m²,410 700 €,"
2h+kt+s
"
Kaanaankatu 1c E 191,Arabianranta,Helsinki,"48,5 m²",346 000 €,"
2h+kt+s
"
Kaanaankatu 1c E 188,Arabianranta,Helsinki,56 m²,398 800 €,"
2h+kt+s
"
Kaanaankatu 1c E 185,Arabianranta,Helsinki,"48,5 m²",334 200 €,"
2h+kt+s
"
Kaanaankatu 1c E 182,Arabianranta,Helsinki,56 m²,388 100 €,"
2h+kt+s
"
Kaanaankatu 1c E 179,Arabianranta,Helsinki,"48,5 m²",326 900 €,"
2h+kt+s
"
Kaanaankatu 1c E 176,Arabianranta,Helsinki,56 m²,376 200 €,"
2h+kt+s
"
Kaanaankatu 1c E 173,Arabianranta,Helsinki,"48,5 m²",315 200 €,"
2h+kt+s
"
Kaanaankatu 1c E 170,Arabianranta,Helsinki,"48,5 m²",296 600 €,"
2h+kt+s
"
Kaanaankatu 1c E 167,Arabianranta,Helsinki,56 m²,356 300 €,"
2h+kt+s
"
Kaanaankatu 1c D 163,Arabianranta,Helsinki,41 m²,347 900 €,"
2h+kt
"
Kaanaankatu 1c D 158,Arabianranta,Helsinki,"43,5 m²",359 100 €,"
2h+kt
"
Kaanaankatu 1c D 153,Arabianranta,Helsinki,"43,5 m²",340 700 €,"
2h+kt
"
Kaanaankatu 1c D 148,Arabianranta,Helsinki,"43,5 m²",333 700 €,"
2h+kt
"
Kaanaankatu 1c D 143,Arabianranta,Helsinki,"43,5 m²",322 500 €,"
2h+kt
"
Kaanaankatu 1c D 138,Arabianranta,Helsinki,"43,5 m²",315 300 €,"
2h+kt
"
Kaanaankatu 1c D 133,Arabianranta,Helsinki,"43,5 m²",304 200 €,"
2h+kt
"
Kaanaankatu 1c D 130,Arabianranta,Helsinki,"43,5 m²",286 200 €,"
2h+kt
"
Kaanaankatu 1c D 127,Arabianranta,Helsinki,"54,5 m²",352 000 €,"
2h+kt+s
"
Isonvillasaarentie 8,Vuosaari,Helsinki,46 m²,158 000 €,"
2h+k
"
Viides linja 2 B,Kallio,Helsinki,"46,5 m²",329 000 €,"
2h, avok. (Yht.järj. 2h+kk)
"
Alppikatu 13 B,Kallio,Helsinki,"56,5 m²",344 000 €,"
2h+k
"
Kustaankatu 8 a,Alppiharju,Helsinki,84 m²,417 000 €,"
2 h, avok, kph, erill.wc/kh-tila, vh
"
Agronominkatu 10 E,Viikki,Helsinki,"56,5 m²",289 000 €,"
2h+kk
"
Mannerheimintie 132,Meilahti,Helsinki,40 m²,320 000 €,"
2h+kk+kph
"
KALJAASI FORTUNAN KATU 1,Sompasaari,Helsinki,54 m²,429 000 €,"
2h, avok, kph, vh, p
"
Malminkatu 20 A,Kamppi,Helsinki,53 m²,545 000 €,"
2h+kk+vh+parveke
"
Neitsytsaarentie 1 B,Vuosaari,Helsinki,53 m²,159 000 €,"
2h, k, vh, kph, parveke
"
Halsuantie 5-7 E 56,Kaarela,Helsinki,60 m²,169 000 €,"
2h+k+kph+vh+las.parv
"
Ilmarinkatu 12,Etu-Töölö,Helsinki,86 m²,660 000 €,"
2h+k+kph+et
"
Siltasaarenkatu 26 B,Kallio,Helsinki,"40,5 m²",318 000 €,"
2h+kk
"
Vanha Tapanilantie 2 B,Tapaninvainio,Helsinki,48 m²,239 000 €,"
2h, avok, kph, parveke (yj:n mukaan 2h+k+var)
"
Hämeentie 156 B,Toukola,Helsinki,45 m²,282 000 €,"
2h, k, kph, parveke
"
Leimasinkatu 9,Postipuisto,Helsinki,"72,5 m²",351 900 €,"
3h + kt
"
Leimasinkatu 9,Postipuisto,Helsinki,"64,5 m²",341 900 €,"
3h + kt
"
Leimasinkatu 9,Postipuisto,Helsinki,"81,5 m²",407 900 €,"
4h + kt
"
Trumpettitie 4 E 35,Kannelmäki,Helsinki,"50,5 m²",145 000 €,"
2h+kk+kph+las.parv
"
Jokiniementie 29,Veräjämäki,Helsinki,53 m²,229 000 €,"
2h, avok, parveke, kph
"
Gyldénintie 2,Lauttasaari,Helsinki,"47,5 m²",528 000 €,"
2h+kt
"
Gyldénintie 2,Lauttasaari,Helsinki,46 m²,473 000 €,"
2h+kt
"
Gyldénintie 2,Lauttasaari,Helsinki,"46,5 m²",523 000 €,"
2h+kt
"
Gyldénintie 2,Lauttasaari,Helsinki,46 m²,458 000 €,"
2h+kt
"
Gyldénintie 2,Lauttasaari,Helsinki,"42,5 m²",488 500 €,"
2h+kt
"
Gyldénintie 2,Lauttasaari,Helsinki,"42,5 m²",465 500 €,"
2h+kt
"
Gyldénintie 2,Lauttasaari,Helsinki,46 m²,448 000 €,"
2h+kt
"
Gyldénintie 2,Lauttasaari,Helsinki,46 m²,453 000 €,"
2h+kt
"
Gyldénintie 2,Lauttasaari,Helsinki,"42,5 m²",460 500 €,"
2h+kt
"
Gyldénintie 2,Lauttasaari,Helsinki,43 m²,448 500 €,"
2h+kt
"
Gyldénintie 2,Lauttasaari,Helsinki,"42,5 m²",455 500 €,"
2h+kt
"
Pormestarinrinne 8 B,Katajanokka,Helsinki,"66,6 m²",739 000 €,"
2-3h, avok, kph, vh
"
Vaasankatu 9 B,Kallio,Helsinki,50 m²,349 000 €,"
2h, avok, alkovi, kph
"
Lehdesniityntie 3 A,Lehtisaari,Helsinki,"54,3 m²",229 000 €,"
2h+k+kph+vh+las.parveke, (yj:n mukaan 2h+k)
"
Agronominraitti 6,Viikki,Helsinki,"47,5 m²",20 658 €,"
2H+KK+S
"
Larin Kyöstin tie 10,Oulunkylä,Helsinki,43 m²,320 200 €,"
2h+kt
"
Larin Kyöstin tie 10,Oulunkylä,Helsinki,53 m²,359 100 €,"
2h+kt
"
Larin Kyöstin tie 10,Oulunkylä,Helsinki,"60,5 m²",395 800 €,"
2h+k
"
Larin Kyöstin tie 10,Oulunkylä,Helsinki,55 m²,349 400 €,"
2h+k
"
Larin Kyöstin tie 10,Oulunkylä,Helsinki,49 m²,368 800 €,"
2h+k
"
Larin Kyöstin tie 10,Oulunkylä,Helsinki,49 m²,339 300 €,"
2h+k
"
Larin Kyöstin tie 10,Oulunkylä,Helsinki,50 m²,345 300 €,"
2h+kt
"
Bulevardi 17,Kamppi,Helsinki,82 m²,889 000 €,"
2h, k, kph
"
Maasälväntie 8,Pihlajamäki,Helsinki,"45,5 m²",165 000 €,"
2h, kk, kph, parveke
"
Siltavoudintie 14,Oulunkylä,Helsinki,40 m²,215 000 €,"
2h, avok, kph
"
Kauppalantie 22 B,Etelä-Haaga,Helsinki,51 m²,299 000 €,"
2h+k
"
Saniaistie 18,Tapanila,Helsinki,51 m²,159 000 €,"
2h,k, kph, p
"
Pajupillintie 15 A,Kannelmäki,Helsinki,50 m²,212 000 €,"
2h, k, kph, parveke
"
Hiihtäjäntie 2 a,Herttoniemi,Helsinki,41 m²,229 000 €,"
2h+kk
"
Kuusitie 9 as,Meilahti,Helsinki,35 m²,234 000 €,"
2H+KK+KPH (yhtiöjärjestyksen mukaan 2h+kk)
"
Inarintie 16 B,Vallila,Helsinki,"53,5 m²",299 000 €,"
2h+k+lasitettu parveke (Yht. järj. 2h+k)
"
Topeliuksenkatu 36,Meilahti,Helsinki,45 m²,275 000 €,"
2h, kk, kph
"
Malmin raitti 5 A,Malmi,Helsinki,"51,5 m²",161 000 €,"
2h, k, p (yht.järj.muk. 2h+k+kph)
"
Välimetsäntie 9,Oulunkylä,Helsinki,"59,5 m²",229 000 €,"
2h, k, kph, vaatehuone, lasitettu parveke
"
Limonadikuja 6,Konala,Helsinki,54 m²,279 990 €,"
2h+kt+sauna
"
Messipojankuja 12 B 45,Ruoholahti,Helsinki,48 m²,14 485 €,"
2H+KK+S
"
Honkatie 4 B,Meilahti,Helsinki,"44,5 m²",321 000 €,"
2h, avokeittiö, kph
"
HÖYRYPOLKU 4 A09,Pasila,Helsinki,"44,5 m²",354 400 €,"
2h+kt
"
HÖYRYPOLKU 4 B71,Pasila,Helsinki,"37,5 m²",358 400 €,"
2h+kt
"
HÖYRYPOLKU 4 B61,Pasila,Helsinki,"37,5 m²",346 845 €,"
2h+kt
"
Juutinraumankatu 9,Jätkäsaari,Helsinki,"64,5 m²",519 000 €,"
2h, avokeittö, kph, las.parveke
"
Neulastie 4 D,Malminkartano,Helsinki,61 m²,183 000 €,"
2 h + k + kph + s + parveke
"
Strömsinlahdenkuja 1,Roihuvuori,Helsinki,"58,5 m²",265 000 €,"
2h+k+kph+vh+lasitettu parveke
"
Tankomäenkatu 3,Mellunkylä,Helsinki,"39,5 m²",209 000 €,"
2h, kt
"
Eskolantie 5,Pukinmäki,Helsinki,"56,5 m²",198 000 €,"
2h, k, kph, vh, p
"
Kiskontie 18 A,Ruskeasuo,Helsinki,41 m²,224 000 €,"
2 h, k, kh, p (Yj 2h+k+kph)
"
Pihlajistontie 1 A,Pihlajisto,Helsinki,50 m²,254 000 €,"
2h+kt+s
"
Hietalahdenranta 3,Punavuori,Helsinki,67 m²,669 000 €,"
2h, k, kph, s, vh, las. parveke
"
Pelimannintie 18-20 E,Kannelmäki,Helsinki,55 m²,148 000 €,"
2h, k, kph, lasitettu parveke 
"
Välimerenkatu 12 H,Jätkäsaari,Helsinki,45 m²,484 000 €,"
2h+avok+kph (yj mukaan 2h+kk)
"
Kivalterintie 22,Oulunkylä,Helsinki,50 m²,237 000 €,"
2h, avokeittiö, kph, parveke
"
Kalevankatu 45 D,Kamppi,Helsinki,"86,5 m²",575 000 €,"
2h+k+kph+wc+s+eteinen
"
Teollisuuskatu 28,Vallila,Helsinki,58 m²,568 000 €,"
2h + avok + p (2-3h)
"
Maasälväntie 6,Pihlajamäki,Helsinki,"40,5 m²",157 000 €,"
2 h, kk, kph, ransk. parveke
"
Mechelininkatu 2 A 14,Etu-Töölö,Helsinki,62 m²,498 000 €,"
2h + k + alkovi/parvi + e + p
"
Laakavuorentie 4 A 9,Mellunmäki,Helsinki,59 m²,156 000 €,"
2h+k+kph+p
"
Riihipellontie 3 B,Konala,Helsinki,44 m²,184 000 €,"
2h+k
"
Liusketie 2 G,Pihlajamäki,Helsinki,"55,5 m²",143 000 €,"
2h+kk+kph+vh+lasitettu parveke
"
Toinen linja 15 B,Kallio,Helsinki,"40,5 m²",270 000 €,"
2h+kk
"
Maasälväntie 14,Pihlajamäki,Helsinki,55 m²,159 000 €,"
2h, k, kph
"
Kalevankatu 45 D,Kamppi,Helsinki,44 m²,418 000 €,"
2 h + kph + wc + vh + e
"
Luostonkuja 3 C,Mellunmäki,Helsinki,54 m²,169 000 €,"
2h,k,kph,p (Yhtiöjärjestyksessä 2 h+k)
"
Punavuorenkatu 21 C,Punavuori,Helsinki,60 m²,445 000 €,"
2 h, keittiö, kph/wc, lasitettu parveke 
"
Petter Wetterin tie 1 c A,Herttoniemi,Helsinki,"54,5 m²",309 000 €,"
2h, avok, kph/s, vh, las.terassi, piha
"
Mannerheimintie 72,Taka-Töölö,Helsinki,"44,7 m²",347 000 €,"
2h + avok+kph (yhtiöjärjestyksen mukaan 2h+kph)
"
Hiekkalaiturinraitti 12 D,Kallahti,Helsinki,62 m²,249 000 €,"
2h+k.
"
Neitojenranta 2,Herttoniemi,Helsinki,"59,5 m²",472 000 €,"
2h + avok + s + p
"
Kitarakuja 4 D,Kannelmäki,Helsinki,59 m²,234 000 €,"
2h, k, kph ja las.parv
"
Pietarinkatu 14 B,Ullanlinna,Helsinki,"62,5 m²",553 000 €,"
2h, avok, kph
"
Niittaajankatu 10,Herttoniemi,Helsinki,"43,5 m²",294 900 €,"
2h+kt+sauna
"
Kalkkivuorentie 43 D,Heikinlaakso,Helsinki,65 m²,203 000 €,"
2h+k+sauna
"
Keijukaistenpolku 7 B,Roihuvuori,Helsinki,"56,5 m²",268 000 €,"
2h+k+kph+vh+parveke (yj:n mukaan 2h+k)
"
Lauttasaarentie 52 C,Lauttasaari,Helsinki,50 m²,475 000 €,"
2h+kt+s
"
Iso Roobertinkatu 46 B,Punavuori,Helsinki,"40,5 m²",359 000 €,"
2h,avok,kph
"
Jousimiehentie 10 I,Siltamäki,Helsinki,62 m²,145 000 €,"
2h+k+kph+vh+ lasitettu parveke
"
Satamasaarentie 1 D,Vuosaari,Helsinki,79 m²,220 000 €,"
2h+k
"
Norkkokuja 6 ja 7,Viikki,Helsinki,"56,5 m²",22 274 €,"
2H+K
"
Agronominraitti 6,Viikki,Helsinki,56 m²,24 034 €,"
2H+K+S
"
Ormusmäentie 1 B,Malmi,Helsinki,51 m²,268 000 €,"
2h+k+alkovi+kph+sauna +las.parveke
"
Messeniuksenkatu 7 B,Taka-Töölö,Helsinki,49 m²,375 000 €,"
2h, kk, kh
"
Hämeentie 95 A,Hermanni,Helsinki,"39,5 m²",269 000 €,"
2h+kk+kh
"
Kauriintie 3 G,Siltamäki,Helsinki,"63,5 m²",130 000 €,"
2h+k+kph+wc+vh+parveke
"
Kivijatatie 4,Kivikko,Helsinki,61 m²,208 000 €,"
2h, k, kph, s, piha
"
Keinulaudantie 5 F,Kontula,Helsinki,61 m²,173 646 €,"
2h + k + p
"
Malminkatu 22 B 39,Kamppi,Helsinki,36 m²,379 000 €,"
2h + k + kph + vh (yhtiöjärj. mukaan 2h + kk + al)
"
Tilanhoitajankaari 7,Viikki,Helsinki,47 m²,16 337 €,"
2H+KK+S
"
Matkamiehentie 12,Haaga,Helsinki,51 m²,201 000 €,"
2h+k+kph+las.parv
"
Eerikinkatu 48 B,Kamppi,Helsinki,"56,7 m²",497 000 €,"
2 h+k
"
Kuusitie 4 A,Meilahti,Helsinki,40 m²,319 000 €,"
2 h, k, kph, vh
"
Sulkapolku 1 B32,Pitäjänmäki,Helsinki,"49,5 m²",255 100 €,"
2h+kt
"
Amiraalinkatu 4,Katajanokka,Helsinki,46 m²,300 000 €,"
2h, kk
"
Saukonpaadenranta 22 B,Jätkäsaari,Helsinki,"43,5 m²",429 000 €,"
2h+kt+kph+lasitettu parv (yht.järj. 2h+kt)
"
Ruoholahdenkatu 24 D,Kamppi,Helsinki,40 m²,328 000 €,"
1 h+kk+alk 
"
Hela-aukio 3 B,Malmi,Helsinki,44 m²,203 000 €,"
2h+avokeittiö+kph+piha (yhtiöjärjestyksen mukaan 2h+kk)
"
Taavetti Laitisen katu 3,Ruskeasuo,Helsinki,57 m²,245 000 €,"
2h + k + kph
"
Kaartintorpantie 3 A 2,Munkkiniemi,Helsinki,37 m²,470 000 €,"
2h, kt, kh
"
Kaartintorpantie 3 A 8,Munkkiniemi,Helsinki,37 m²,510 000 €,"
2h, kt, sauna
"
Fredrikinkatu 69,Etu-Töölö,Helsinki,57 m²,612 000 €,"
2 h, avok, kph, vh
"
Naapurintie 3,Kontula,Helsinki,"56,5 m²",164 000 €,"
2h, kk, kph, p
"
Vuorikatu 6 B,Kluuvi,Helsinki,"46,4 m²",457 000 €,"
2h+k
"
Jousimiehentie 10 B,Siltamäki,Helsinki,"63,5 m²",149 000 €,"
2h+k+kph+erill.wc+vh+lasitettu terassi+piha
"
Pihlajistontie 1 A,Pihlajisto,Helsinki,50 m²,254 000 €,"
2h+kt+s
"
Korppaanmäentie 7 B,Pikku Huopalahti,Helsinki,"59,5 m²",325 000 €,"
2h+k
"
Salpausseläntie 13,Pihlajisto,Helsinki,"57,5 m²",154 000 €,"
2h, k, kph, lasitettu parveke
"
Kastelholmantie 4,Puotinharju,Helsinki,"51,5 m²",187 000 €,"
2 h, k, kph, las. parveke
"
Kaisaniemenkatu 3,Kluuvi,Helsinki,75 m²,715 000 €,"
2h, k, halli, kph
"
Kirstinkatu 2 D,Kallio,Helsinki,51 m²,359 000 €,"
2 h+ kk
"
Linnanrakentajantie 11 ja Rouvienpolku 11,Herttoniemenranta,Helsinki,"51,5 m²",15 525 €,"
2H+KK+S
"
Tarkk'ampujankatu 14 A,Ullanlinna,Helsinki,60 m²,525 000 €,"
2h+kk+kph
"
Mätästie 5 L 237,Suurmetsä,Helsinki,"63,5 m²",128 800 €,"
2h+k+kph+s+las.parv
"
Fleminginkatu 12,Kallio,Helsinki,"49,5 m²",350 000 €,"
2h, kk, kph, et
"
Huovitie 6 A,Haaga,Helsinki,54 m²,239 000 €,"
2h, k, kph, parveke
"
Poutamäentie 4 B,Pajamäki,Helsinki,50 m²,259 000 €,"
2h+kk
"
Alppikylänkuja 13,Alppikylä,Helsinki,"45,5 m²",26 554 €,"
2H+KT+S
"
Vuolukiventie 10,Pihlajamäki,Helsinki,66 m²,185 000 €,"
2h, k, kph, vh, lasit.parveke
"
Sulkapolku 1 A7,Pitäjänmäki,Helsinki,"37,5 m²",211 200 €,"
2h+kt
"
Maasälväntie 12,Pihlajamäki,Helsinki,"40,5 m²",152 000 €,"
2h, kk, ranskalainen parveke
"
Luoteisväylä 19,Lauttasaari,Helsinki,54 m²,398 000 €,"
2h, avok, kph, vh, las.parveke
"
Kivikonkaari 20,Kivikko,Helsinki,"56,5 m²",19 111 €,"
2H+K+S
"
Eerikinkatu 20,Kamppi,Helsinki,64 m²,500 000 €,"
2h, k, kph
"
Markkinatie 14,Malmi,Helsinki,"59,5 m²",13 493 €,"
2H+K+S
"
